# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.9323
# k_min, k_max      =     0.0000    3.6470
# E_min, E_max      =   -63.0029   94.8857
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      0.000000    -63.002900
      0.004260    -63.002900
      0.008520    -63.002900
      0.012781    -63.002800
      0.017041    -63.002800
      0.021301    -63.002800
      0.025561    -63.002800
      0.029822    -63.002800
      0.034082    -63.002800
      0.038342    -63.002800
      0.042602    -63.002700
      0.046863    -63.002700
      0.051123    -63.002700
      0.055383    -63.002600
      0.059643    -63.002600
      0.063904    -63.002600
      0.068164    -63.002500
      0.072424    -63.002500
      0.076684    -63.002500
      0.080945    -63.002400
      0.085205    -63.002400
      0.089465    -63.002300
      0.093725    -63.002300
      0.097985    -63.002200
      0.102246    -63.002200
      0.106506    -63.002100
      0.110766    -63.002100
      0.115026    -63.002000
      0.119287    -63.002000
      0.123547    -63.001900
      0.127807    -63.001900
      0.132067    -63.001800
      0.136328    -63.001800
      0.140588    -63.001700
      0.144848    -63.001700
      0.149108    -63.001600
      0.153369    -63.001600
      0.157629    -63.001500
      0.161889    -63.001500
      0.166149    -63.001400
      0.170410    -63.001300
      0.174670    -63.001300
      0.178930    -63.001200
      0.183190    -63.001200
      0.187450    -63.001100
      0.191711    -63.001100
      0.195971    -63.001000
      0.200231    -63.001000
      0.204491    -63.000900
      0.208752    -63.000900
      0.213012    -63.000800
      0.217272    -63.000800
      0.221532    -63.000700
      0.225793    -63.000700
      0.230053    -63.000700
      0.234313    -63.000600
      0.238573    -63.000600
      0.242834    -63.000500
      0.247094    -63.000500
      0.251354    -63.000400
      0.255614    -63.000400
      0.259875    -63.000400
      0.264135    -63.000300
      0.268395    -63.000300
      0.272655    -63.000300
      0.276915    -63.000200
      0.281176    -63.000200
      0.285436    -63.000200
      0.289696    -63.000100
      0.293956    -63.000100
      0.298217    -63.000100
      0.302477    -63.000100
      0.306737    -63.000000
